Country	Number groups	Revenue	P/L before tax	Income tax paid	Income tax accrued	capital	accum_earnings	Number employees	Tangible assets	ISO2	Income tax as % of pretax profits	Sales share %	Employment share %	Profit total (M)	Sales total (M)	Employment (th)	Subject Descriptor	Units	Scale	Country/Series-specific Notes	GDP_USD	Estimates Start After	Reg	Inc	Year	ISO	TotTax (X)	CIT (AK)	CITnr (AM)	TTxsc (Y)	GDP_LCU	number_datapoints	CIT	population	G7	G24	G77	EU	OECD	G20	US	G7_noUS	OECD_noUS	G20_noOECD	All	TotTax (X) USD	CIT (AK) USD	CITnr (AM) USD	TTxsc (Y) USD	routine	residual	reallocation_residual_1	reallocation_residual_2	new_profits_1	new_profits_2	gains_1	gains_2	new_profits_3	new_profits_4	gains_3	gains_4	reallocation_0.8residual_1	reallocation_0.8residual_2	reallocation_0.2residual_1	reallocation_0.2residual_2	new_profits_5	new_profits_6	gains_5	gains_6	new_profits_7	new_profits_8	gains_7	gains_8	gains_1_tax	gains_1_%tot_tax	gains_1_%cit	gains_1_%gdp	gains_1_%pop	gains_2_tax	gains_2_%tot_tax	gains_2_%cit	gains_2_%gdp	gains_2_%pop	gains_3_tax	gains_3_%tot_tax	gains_3_%cit	gains_3_%gdp	gains_3_%pop	gains_4_tax	gains_4_%tot_tax	gains_4_%cit	gains_4_%gdp	gains_4_%pop	gains_5_tax	gains_5_%tot_tax	gains_5_%cit	gains_5_%gdp	gains_5_%pop	gains_6_tax	gains_6_%tot_tax	gains_6_%cit	gains_6_%gdp	gains_6_%pop	gains_7_tax	gains_7_%tot_tax	gains_7_%cit	gains_7_%gdp	gains_7_%pop	gains_8_tax	gains_8_%tot_tax	gains_8_%cit	gains_8_%gdp	gains_8_%pop
Colombia	299.0	20301200832.0	1055406042.0	730986246.0	591415961.0	5966746179.0	3227451642.0	73043.0	7330862160.0	CO	69.26113902235933						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	279987000000.0	2017.0	Latin America & The Caribbean	UMICs	1980.0	COL	0.1940012649506517			0.1940012649506517	2190990.0	3.0	0.2680000008	48434910.5	False	True	True	False	False	False	False	False	False	False	True	54317832169.73812			54317832169.73812	346375813.6491879	505591380.0	1191119011.4013429	1860458266.1354856	1740933673.4013429	2410272928.1354856	685527631.4013429	1354866886.1354856	1537494825.050531	2206834079.7846737	482088783.0505309	1151428037.7846737	567224182.6806498	567224182.6806498	238223802.28026858	372091653.22709715	1151823798.6101062	1285691649.5569348	96417756.61010623	230285607.55693483	1773005086.5363848	2769330299.9723744	717599044.5363848	1713924257.9723744	183721405.763982	0.003382340539472744		0.000656178343151582	3.793160839307879	363104326.5682037	0.006684808875168965		0.0012968613777361224	7.496748168208212	129199794.24321333	0.0023785889289446626		0.0004614492610128803	2.667493196734891	308582715.047435	0.005681057264640883		0.0011021322955974205	6.371080525635223	25839958.848642677	0.0004757177857889327		9.228985220257611e-05	0.5334986393469784	61716543.009487025	0.001136211452928177		0.0002204264591194842	1.2742161051270453	192316544.5098304	0.00354057842199702		0.0006868766925244043	3.9706183520217384	459331702.5077358	0.008456370296081909		0.0016405465343310075	9.48348407720782
Costa Rica	154.0	9421735629.0	797307487.0	135287182.0	128858861.0	2247623165.0	989787415.0	69844.0	2790302748.0	CR	16.968005970825658						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	57810000000.0	2016.0	Latin America & The Caribbean	UMICs	1980.0	CRI	0.135151920711409	0.028600665454778188		0.1329969040230978	41442.0	4.0	0.300000012	4832117.5	False	False	True	False	False	False	False	False	False	False	True	7813132536.326554	1653404469.940727		7688551021.575284	261669934.1751677	588034780.9	552795301.1730144	1485898753.0030172	762068007.2730144	1695171459.103017	-35239479.726985574	897863972.1030171	814465235.3481821	1747568687.178185	17157748.348182082	950261200.178185	428510042.2598659	428510042.2598659	110559060.23460287	297179750.60060346	800739036.6696365	987359727.035637	3431549.669636488	190052240.03563702	822847147.4400162	2211790779.8759284	25539660.44001615	1414483292.8759284	-10571844.340969428	-0.0013530865234675667	-0.006393985581367407	-0.00018287224253536462	-2.187828491540081	269359202.4052728	0.034475186636462145	0.16291186294841034	0.004659387690802159	55.74351252950136	5147324.710347605	0.0006588042230712864	0.003113167288420438	8.90386561208719e-05	1.0652316940446098	285078371.4565899	0.036487077383001006	0.17241901581819824	0.004931298589458396	58.99657271508606	1029464.9420695424	0.00013176084461426001	0.0006226334576841005	1.780773122417475e-05	0.2130463388089264	57015674.291317984	0.007297415476600202	0.03448380316363965	0.0009862597178916794	11.799314543017214	7661898.43848077	0.0009806436026596717	0.004634013381344882	0.00013253586643281043	1.5856192318338225	424345004.836578	0.05431176328618756	0.2566492425484917	0.007340339125351635	87.81760891298235
Curacao	41.0	628451612.0	178546527.0	9178207.0	8053635.0	12082104306.0	39471280.0	288.0	27997583.0	CW	5.140512758335535													Tax haven									0.2420000018		False	False	False	False	False	False	False	False	False	False	True					58597540.75944706	176446708.275	36872728.31758273	23423711.926616155	38972547.04258273	25523530.651616156	-139573979.95741728	-153022996.34838384	95470269.0770298	82021252.68606322	-83076257.9229702	-96525274.31393678	95959188.99244235	95959188.99244235	7374545.663516545	4684742.385323231	161931275.41540596	159241472.13721263	-16615251.584594041	-19305054.862787366	54885812.61467274	34866675.78464158	-123660714.38532725	-143679851.21535844	-33776903.40092815					-37031565.39175028					-20104454.566896055					-23359116.557718195					-4020890.913379211					-4671823.311543642					-29925893.10383848					-34770524.25274047				
Dominican Republic	92.0	2796606018.0	448576814.0	50881356.0	57907894.0	757247411.0	663967377.0	26262.0	1310235914.0	DO	11.342841273111365						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	71673000000.0	2016.0	Latin America & The Caribbean	UMICs	1980.0	DOM	0.13731079861813653	0.022984589364219585	0.022984589364219585	0.13658153525187164	8672.0	5.0	0.2760000052	10587506.75	False	False	True	False	False	False	False	False	False	False	True	9841476869.357698	1647374473.5017104	1647374473.5017104	9789208376.107395	147219319.153197	350309120.45	164083426.5423618	536825487.8497043	262351120.0923618	635093181.3997043	-186225693.9076382	186516367.39970434	311302745.6955588	684044807.0029013	-137274068.3044412	235467993.00290132	241085995.87744245	241085995.87744245	32816685.30847236	107365097.56994087	421122000.33911175	495670412.6005803	-27454813.660888255	47093598.600580275	244241546.8909866	799075752.657262	-204335267.1090134	350498938.65726197	-51398292.48688175	-0.005222619853623275	-0.031200126816113605	-0.0007171221029799471	-4.854617210693324	51478518.37220351	0.005230771667257217	0.03124882605639698	0.00071824143502021	4.862194621241069	-37887643.56585093	-0.0038497924720848993	-0.022998804567680216	-0.0005286180788560675	-3.578523675165631	64989167.293234326	0.0066035990487955925	0.039450148304830374	0.0009067454591440895	6.138288156768762	-7577528.713170189	-0.0007699584944169802	-0.004599760913536045	-0.00010572361577121356	-0.7157047350331266	12997833.45864687	0.001320719809759119	0.007890029660966077	0.00018134909182881796	1.2276576313537528	-56396534.78463109	-0.0057304950804921	-0.03423419246308513	-0.0007868588559796728	-5.326705910683938	96737708.89199878	0.009829592669490503	0.05872235514635	0.0013497092195387216	9.13696785997315
Ecuador	110.0	3877407697.0	23713515.0	106883172.0	484175488.0	1210131701.0	97337447.0	12904.0	1306580475.0	EC	450.7268197059778						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	98614000000.0	2016.0	Latin America & The Caribbean	UMICs	1980.0	ECU	0.1419406401012503	0.010295159929431615	0.010295159929431615	0.1419406401012503	293000.0	5.0	0.219999999	16264351.5	False	True	True	False	False	False	False	False	False	False	True	13997334282.944696	1015246901.2809693	1015246901.2809693	13997334282.944696	7782585.778116307	-74280020.625	227496592.9882683	337209183.980284	325490128.61326826	435202719.605284	301776613.61326826	411489204.605284	235279178.7663846	344991769.75840026	211565663.7663846	321278254.75840026	12744743.377506955	12744743.377506955	45499318.59765366	67441836.7960568	66026647.753276914	87969165.95168006	42313132.753276914	64255650.951680064	338633346.18709165	501942788.840582	314919831.18709165	478229273.840582	66390854.69314241	0.004743107033889841	0.06539380185191894	0.0006732396484590668	4.0819859736271935	90527624.60167328	0.006467490364360183	0.08916808757303439	0.0009179997221659529	5.566015011522179	46544445.817038946	0.0033252364254636587	0.04584544484530053	0.0004719861867183052	2.8617461825661445	70681215.7255698	0.005049619755933999	0.06961973056641597	0.0007167462604251912	4.345775220461129	9308889.163407788	0.0006650472850927316	0.009169088969060104	9.439723734366101e-05	0.5723492365132288	14136243.145113964	0.0010099239511868001	0.013923946113283198	0.00014334925208503825	0.8691550440922261	69282362.54624033	0.004949682642834263	0.0682418852584771	0.0007025611226219434	4.259767906899967	105210439.76669876	0.007516462609233696	0.10363039732891714	0.001066891514051745	6.468775577476837
El Salvador	77.0	3537463020.0	336079832.0	77111996.0	65162408.0	1304523990.0	190672119.0	35486.0	1173554739.0	SV	22.944547294346428						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	26798000000.0	2016.0	Latin America & The Caribbean	LMICs	1980.0	SLV	0.17790208643011876	0.03728639714858793	0.03728639714858793	0.17790208643011876	3912.0	5.0	0.300000012	6329060.5	False	False	True	False	False	False	False	False	False	False	True	4767420112.154323	999200870.7878594	999200870.7878594	4767420112.154323	110298710.28546034	248063226.575	207551242.4176194	718293061.7957218	295567847.8426194	806309667.2207217	-40511984.15738058	470229835.2207217	317849952.70307976	828591772.0811821	-18229879.29692024	492511940.0811821	180624897.37163174	180624897.37163174	41510248.48352388	143658612.35914436	332433856.140616	434582220.0162364	-3645975.8593840003	98502388.01623642	308944282.6459873	1069193959.6273432	-27135549.354012728	733114127.6273432	-12153595.733357983	-0.0025493024418747866	-0.012163315794325719	-0.0004535262233509211	-1.920284334990633	141068956.20897454	0.02959020872721613	0.14118177869254972	0.005264159870474458	22.289083223169463	-5468964.007834624	-0.0011471537811177468	-0.005473337912048058	-0.00020408105111704693	-0.8641036071364183	147753587.93449792	0.030992357387973176	0.1478717565748274	0.005513605042708334	23.345263951023682	-1093792.8015669102	-0.00022943075622354633	-0.001094667582409597	-4.081621022340885e-05	-0.1728207214272814	29550717.586899582	0.0061984714775946345	0.02957435131496548	0.0011027210085416666	4.669052790204736	-8140665.13183041	-0.0017075619392291758	-0.008147175777991046	-0.00030377883169753006	-1.2862359479468415	219934247.08557248	0.04613275983898714	0.22011014353115668	0.008207114228135401	34.74990436346319
Guatemala	111.0	4048110549.0	29906307.0	75792314.0	69324681.0	1182402000.0	708369807.0	24583.0	1005295041.0	GT	253.43254183808116						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	68763000000.0	2016.0	Latin America & The Caribbean	UMICs	1980.0	GTM	0.10782319909937396	0.03543229694228274	0.03543229694228274	0.1039394023992741	7319.0	5.0	0.2680000006	16417990.0	False	True	True	False	False	False	False	False	False	False	True	7414246639.670252	2436431034.642188	2436431034.642188	7147185127.181285	9815010.534464426	-45490821.075	237512129.21197447	544464294.3852822	312909257.2869745	619861422.4602822	283002950.2869745	589955115.4602822	247327139.7464389	554279304.9197466	217420832.7464389	524372997.91974664	16073037.172428459	16073037.172428459	47502425.842394896	108892858.87705643	73390473.54928778	134780906.58394933	43484166.54928778	104874599.58394933	353541677.34379846	810446272.9100728	323635370.34379846	780539965.9100728	75844790.84671094	0.010229601810236532	0.031129463452204558	0.00110298839269245	4.6196148765294005	158107971.2973287	0.021324886934751413	0.06489326767279022	0.00229931752973734	9.63016613466866	58268783.306498125	0.00785902953305174	0.023915630066276602	0.0008473857060700977	3.5490814226649015	140531963.7571159	0.01895431465756662	0.05767943428686226	0.002043714843114988	8.55963268080416	11653756.661299625	0.001571805906610348	0.004783126013255321	0.00016947714121401953	0.7098162845329803	28106392.75142318	0.003790862931513324	0.011535886857372451	0.00040874296862299754	1.711926536160832	86734279.44631921	0.011698326702843096	0.03559890602815972	0.0012613510092101743	5.2828805137729535	209184711.3322235	0.028213886251500123	0.08585702133897838	0.0030421114746625876	12.741188862474852
Honduras	66.0	3687887532.0	143952893.0	50776110.0	42232123.0	726948224.0	544734307.0	55385.0	836473404.0	HN	35.27272633555201						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	21644000000.0	2016.0	Latin America & The Caribbean	LMICs	1980.0	HND	0.20185272792398049	0.033815125111356044	0.033815125111356044	0.1717846047119549	6122.0	5.0	0.30000000600000004	9036994.75	False	False	True	False	False	False	False	False	False	False	True	4368900443.186634	731894567.9101902	731894567.9101902	3718105984.3855515	47244187.029232	81217387.7	216377000.92849258	1067300500.8843027	279112506.22849256	1130036006.1843028	135159613.22849256	986083113.1843028	263621187.95772457	1114544687.9135346	119668294.95772457	970591794.9135346	77366964.7766144	77366964.7766144	43275400.18569852	213460100.17686057	167886551.9915449	338071251.98270696	23933658.991544902	194118358.98270696	322081605.26659596	1588698693.2602043	178128712.26659596	1444745800.2602043	40547884.779505454	0.009281027413371364	0.055401264823270326	0.0018734007013262546	4.48687709810891	295824939.8717896	0.06771153147541574	0.4041906482739326	0.013667757340223137	32.734880129457814	35900489.205327146	0.008217282511281414	0.04905144918322778	0.0016586808910241705	3.9726137060472615	291177544.2976112	0.06664778657332578	0.3978408326338899	0.013453037529921049	32.220616737396156	7180097.841065425	0.0016434565022562819	0.00981028983664555	0.00033173617820483393	0.7945227412094519	58235508.85952225	0.013329557314665159	0.079568166526778	0.0026906075059842105	6.444123347479233	53438614.74875107	0.012231593611177245	0.073014088492741	0.0024689805372736587	5.913317007155622	433423748.74653614	0.09920659772013504	0.5921942418347351	0.020025122377866206	47.96104908067321
Jamaica	41.0	381275676.0	59665571.0	12630558.0	11134562.0	110115457.0	103426637.0	8675.0	83664227.0	JM	21.16892168852285						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	14002000000.0	2016.0	Latin America & The Caribbean	UMICs	1980.0	JAM	0.25788199019659513	0.032362357033679436	0.032362357033679436	0.25788199019659513	4565.0	5.0	0.25	2876418.75	False	False	True	False	False	False	False	False	False	False	True	3610863626.732725	453137723.1855795	453137723.1855795	3610863626.732725	19581762.7335209	53390753.975	22370337.106002513	161411702.87897378	28645154.13100251	167686519.9039738	-31020416.86899749	108020948.90397379	41952099.83952341	180993465.61249468	-17713471.160476588	121327894.61249468	32067046.613183286	32067046.613183286	4474067.421200504	32282340.57579476	56122876.76790469	83931149.92249894	-3542694.2320953086	24265578.92249894	33298705.752175998	240264631.40255564	-26366865.247824002	180599060.40255564	-7755104.217249372	-0.0021477145134574205	-0.01711423220898632	-0.0005538568931045116	-2.6960970885234885	27005237.225993447	0.00747888594464284	0.059596091528521085	0.0019286699918578379	9.38849297446467	-4428367.790119147	-0.0012264012845387177	-0.009772675201233552	-0.0003162668040365053	-1.5395421094787214	30331973.65312367	0.008400199173561542	0.06693764853627385	0.0021662600809258443	10.545047953509435	-885673.5580238272	-0.0002452802569077429	-0.0019545350402467056	-6.325336080730089e-05	-0.3079084218957435	6066394.730624735	0.0016800398347123087	0.013387529707254773	0.00043325201618516895	2.1090095907018878	-6591716.3119560005	-0.0018255234739841138	-0.014546827542001857	-0.0004707696266216255	-2.291640016585207	45149765.10063891	0.012503868815863448	0.09963806319905115	0.0032245225753920093	15.696520230456331
Mexico	678.0	165801023157.0	9844032119.0	4489555950.0	3731115333.0	99182851698.0	81038736827.0	975451.0	52921399083.0	MX	45.60688034870074						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	1076914000000.0	2016.0	Latin America & The Caribbean	UMICs	1980.0	MEX		0.03508894569832729	0.034891438622997616	0.13042601974158394	5245.0	4.0	0.300000012	126704062.0	False	True	False	False	True	True	False	False	True	False	True		37787776867.76843	37575078733.24686	140457606623.98813	3230732532.4250555	5874927187.775	9727934442.2229	21756027524.83528	13697039373.4479	25725132456.06028	3853007254.447901	15881100337.06028	12958666974.647957	24986760057.260338	3114634855.647957	15142727938.260338	5290639669.259956	5290639669.259956	1945586888.44458	4351205504.967056	10466959090.129593	12872577706.65207	622926971.1295929	3028545587.652069	14480230004.272976	32384293336.882473	4636197885.272976	22540261217.882473	1155902222.5704572		0.03058931533906666	0.00107334682488152	9.122850556838953	4764330291.691288		0.12608125395582837	0.0044240582736330735	37.6020327721718	934390494.0700053		0.024727321147781138	0.0008676556290195923	7.374589885445072	4542818563.190836		0.12021925976454283	0.004218367077771146	35.853772100777924	186878098.8140015		0.00494546422955624	0.0001735311258039189	1.474917977089018	908563712.6381677		0.02404385195290858	0.0008436734155542297	7.170754420155588	1390859421.2162673		0.036807124856361124	0.001291523205396408	10.977228348182456	6762078635.847877		0.1789488346856329	0.00627912594306312	53.36907538013956
Nicaragua	40.0	1361538707.0	70998583.0	25576558.0	21202620.0	134059237.0	204795399.0	8535.0	385901850.0	NI	36.02404008541973						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	13230000000.0	2016.0	Latin America & The Caribbean	LMICs	1980.0	NIC	0.2380055621532688	0.0	0.0	0.18051065336631925	4.15975999832153e-06	5.0	0.300000012	6115885.25	False	False	True	False	False	False	False	False	False	False	True	3148813587.287746	0.0	0.0	2388155944.0364037	23301166.542463664	42055944.25	79884665.54698543	187744461.93455043	108827304.29698543	216687100.68455043	37828721.29698543	145688517.68455043	103185832.0894491	211045628.4770141	32187249.089449093	140047045.4770141	38157933.16602907	38157933.16602907	15976933.10939709	37548892.38691009	77436032.81788982	99007992.09540284	6437449.8178898245	28009409.095402837	118909963.65210344	279461483.5232738	47911380.65210344	208462900.52327383	11348616.843040284	0.003604092947533137	inf	0.0008577941680302558	1.8555967581373904	43706557.05362734	0.013880325348594012	inf	0.003303594637462384	7.146399133899274	9656175.113081716	0.003066607420669553	inf	0.0007298696230598425	1.5788679346267518	42014115.32366877	0.013342839821730425	inf	0.0031756700924919705	6.869670310388634	1931235.022616345	0.0006133214841339111	inf	0.00014597392461196862	0.3157735869253507	8402823.06473376	0.002668567964346087	inf	0.0006351340184983946	1.3739340620777278	14373414.770567598	0.004564708062933711	inf	0.0010864259085840967	2.3501773141619355	62538872.65853695	0.01986109082830949	inf	0.00472705008756893	10.225645201328286
Panama	161.0	12577510208.0	881129416.0	63744904.0	68517685.0	4579782080.0	2504331512.0	9931.0	2964721512.0	PA	7.234454195091814						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	57821000000.0	2017.0	Latin America & The Caribbean	Tax haven	1980.0	PAN	0.14892588786847344			0.09134121122599703	4039.0	3.0	0.25	4001485.25	False	False	True	False	False	False	False	False	False	False	True	8611043762.443003			5281440174.298374	289179620.2141069	658775302.6	737951988.5951177	540952906.3887672	960306101.9951177	763307019.7887672	79176685.99511766	-117822396.21123278	1027131608.8092246	830132526.6028742	146002192.8092246	-50996889.39712584	473559836.6287145	473559836.6287145	147590397.71902356	108190581.27775346	910329854.561845	870930038.1205748	29200438.561844945	-10199377.879425168	1098456675.5084107	805219499.8344762	217327259.5084107	-75909916.16552377	19794171.498779416	0.0022986959589163317		0.00034233533662128665	4.946706100885769	-29455599.052808195	-0.0034206769661627493		-0.0005094273542970235	-7.361166470077128	36500548.20230615	0.0042388064919032225		0.0006312680203093366	9.121750030768238	-12749222.34928146	-0.0014805664331758585		-0.00022049467060897355	-3.186122540194659	7300109.640461236	0.0008477612983806452		0.00012625360406186742	1.824350006153649	-2549844.469856292	-0.0002961132866351717		-4.409893412179471e-05	-0.6372245080389318	54331814.87710267	0.00630955043035206		0.0009396553998910893	13.57791207079988	-18977479.041380942	-0.0022038535124105467		-0.0003282108410677944	-4.742608770426167
Paraguay	41.0	1792008666.0	90949759.0	15070809.0	10186047.0	304719403.0	660309824.0	2059.0	709335933.0	PY	16.570477113633693						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	27424000000.0	2016.0	Latin America & The Caribbean	UMICs	1980.0	PRY	0.11013065249610814	0.022106740316742098	0.022106740316742098	0.09913971756518887	515946.0	5.0	0.100000001	6682077.0	False	False	True	False	False	False	False	False	False	False	True	3020223014.0532694	606255246.4463353	606255246.4463353	2718807614.5077395	29848982.78119063	37749564.025	105141346.48153602	88226746.34476542	158341541.45653602	141426941.31976542	67391782.45653602	50477182.31976542	134990329.26272663	118075729.12595606	44040570.262726635	27125970.12595606	48880620.97504751	48880620.97504751	21028269.296307206	17645349.268953085	99757873.05254534	96374953.02519122	8808114.052545339	5425194.025191218	156505051.41189086	131327322.07320733	65555292.411890864	40377563.07320733	6739178.313045385	0.0022313512219752003	0.011116074215519264	0.000245740166024117	1.008545443736339	5047718.282453724	0.001671306476033857	0.008326061196239956	0.00018406207272657978	0.7554115707516875	4404057.070313234	0.0014581893621169384	0.007264361168218069	0.00016059134591282212	0.6590850524938928	2712597.039721576	0.0008981446161755962	0.004474348148938766	9.8913252615285e-05	0.4059511795092418	880811.414062648	0.00029163787242338806	0.0014528722336436158	3.211826918256447e-05	0.13181701049877875	542519.4079443158	0.00017962892323511944	0.0008948696297877542	1.9782650523057024e-05	0.08119023590184846	6555529.306744379	0.0021705447830312956	0.010813150641038887	0.00023904351322726002	0.981061623016972	4037756.3476982964	0.0013369066883175138	0.006660159019433264	0.00014723440591081887	0.6042666595578435
Peru	205.0	11608709632.0	481912962.0	679711941.0	539088489.0	7463296216.0	9604156800.0	36643.0	13445986419.0	PE	141.04454426357597						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	195432000000.0	2017.0	Latin America & The Caribbean	UMICs	1980.0	PER	0.12991545099296795	0.034010065001188694		0.12991545099296795	0.0051	4.0	0.299000007	31572337.25	False	True	True	False	False	False	False	False	False	False	True	25389636418.45771	6646655023.312309		25389636418.45771	158159976.0453524	-526536019.42499995	681110189.2414936	975108512.1777049	1689559170.6664934	1983557493.602705	1207646208.6664934	1501644531.602705	839270165.2868459	1133268488.2230573	357357203.2868459	651355526.2230573	259002388.7637181	259002388.7637181	136222037.84829873	195021702.435541	553384402.6573691	612184067.2446115	71471440.65736914	130271105.2446115	1013846490.9532264	1451469026.5769422	531933528.95322645	969556064.5769422	361086224.844805	0.014221795810447416	0.05432600662714408	0.001847631016644178	11.436791073958423	448991725.46072054	0.017684054945123727	0.06755153139224743	0.002297431973580174	14.221048061961916	106849806.28426735	0.004208402378168357	0.01607572619753922	0.0005467364929196208	3.3842855990735163	194755306.9001828	0.007670661512844665	0.02930125096264256	0.0009965374498556163	6.168542587077009	21369961.256853458	0.0008416804756336708	0.0032151452395078424	0.00010934729858392411	0.6768571198147029	38951061.38003658	0.0015341323025689336	0.005860250192528514	0.00019930748997112335	1.2337085174154023	159048128.88054943	0.006264293283259658	0.023929048269047824	0.0008138284870468983	5.0375785492583205	289897270.0953982	0.011417937040037691	0.04361551322862701	0.00148336643996581	9.182002200213992
Puerto Rico	259.0	97835614361.0	38925940317.0	604667335.0	419653604.0	26006428036.0	99764667958.0	66326.0	16379377113.0	PR	1.5533788781357345						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	105035000000.0	2016.0		Tax haven									0.389999986	3437937.0	False	False	False	False	False	False	False	False	False	False	True					12775181980.018078	37697487033.525	5740244689.064379	4018701608.59034	6968697972.539379	5247154892.06534	-31957242344.46062	-33678785424.93466	18515426669.08246	16793883588.608418	-20410513647.91754	-22132056728.391582	20920606669.58554	20920606669.58554	1148048937.8128757	803740321.718068	34843837587.4165	34499528971.321686	-4082102729.5835037	-4426411345.678314	8544471991.678544	5981919795.671721	-30381468325.321457	-32944020521.328278	-12463324066.93825			-0.11865877152318989	-3625.233407982243	-13134725844.221523			-0.1250509434400107	-3820.525461700294	-7960100036.940651			-0.0757852148040239	-2315.3711184761823	-8631501814.223923			-0.0821773867208447	-2510.663172194232	-1592020007.3881283			-0.015157042960804763	-463.0742236952359	-1726300362.8447838			-0.016435477344168933	-502.13263443884625	-11848772221.534813			-0.11280784711319858	-3446.477414081414	-12848167542.101742			-0.122322726158916	-3737.173642827586
St. Kitts and Nevis	16.0	185565397.0	66165643.0	4726756.0	4698914.0	518604533.0	3070749885.0	916.0	274350380.0	KN	7.143822361100607						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	900000000.0	2016.0	Latin America & The Caribbean	Tax haven	1980.0	KNA	0.18556011949215834	0.02542942494398805	0.02542942494398805	0.18556011949215834	156.0	5.0	0.330000013	54548.25	False	False	False	False	False	False	False	False	False	False	True	167004107.5429425	22886482.449589245	22886482.449589245	167004107.5429425	21715034.325856827	45589364.5	10887556.556582402	21306314.928733952	31463835.056582402	41882593.42873395	-34701807.943417594	-24283049.571266048	32602590.88243923	43021349.25459078	-33563052.117560774	-23144293.74540922	35560486.93931454	35560486.93931454	2177511.3113164804	4261262.985746791	59453032.57648785	61536784.25091816	-6712610.423512153	-4628858.749081843	16206351.313344004	31714886.91087885	-49959291.686656	-34450756.08912115	-11451597.072451308	-0.06857075098890432	-0.5003650996903998	-0.01272399674716812	-209.93518714993255	-8013406.67419744	-0.04798329090281159	-0.3501371034997674	-0.008903785193552711	-146.9049268161204	-11075807.635114733	-0.06632057018278285	-0.4839453882662303	-0.012306452927905259	-203.0460671994928	-7637617.236860861	-0.045733110096690094	-0.33371739207559775	-0.008486241374289846	-140.0158068656806	-2215161.527022946	-0.013264114036556567	-0.09678907765324604	-0.002461290585581051	-40.609213439898554	-1527523.4473721718	-0.009146622019338016	-0.06674347841511953	-0.0016972482748579686	-28.00316137313611	-16486566.90606727	-0.09871952940934706	-0.7203626394917303	-0.018318407673408078	-302.2382369015921	-11368749.957269806	-0.06807467268041004	-0.4967451849497233	-0.012631944396966452	-208.41640120938447
St. Lucia Island	24.0	120092757.0	55876008.0	1066480.0	1324657.0	219197823.0	157940754.0	292.0	177639389.0	LC	1.908654605389848						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	1643000000.0	2016.0	Latin America & The Caribbean	Tax haven	1980.0	LCA	0.2087583719732097	0.020736733642452345	0.020736733642452345	0.2087583719732097	411.0	5.0	0.300000012	177621.5	False	False	False	False	False	False	False	False	False	False	True	342990005.15198356	34070453.3745492	34070453.3745492	342990005.15198356	18338058.49528056	42553053.825	7046123.3883675365	8579678.18100613	20369077.563367534	21902632.35600613	-35506930.43663247	-33973375.64399387	25384181.883648098	26917736.67628669	-30491826.116351902	-28958271.32371331	30030359.603775553	30030359.603775553	1409224.6776735075	1715935.6362012262	49777642.77672961	50084353.735257335	-6098365.223270386	-5791654.264742665	10488299.22816942	12771027.000796938	-45387708.77183058	-43104980.99920306	-10652079.557072906	-0.031056530502551593	-0.3126486002393517	-0.006483310746848999	-59.970665471651266	-10192013.100878667	-0.02971518979499839	-0.29914521502939995	-0.006203294644478799	-57.38051475119097	-9147548.200807484	-0.026670013887880144	-0.2684891832886717	-0.005567588679736752	-51.5002305509608	-8687481.744613249	-0.02532867318032695	-0.25498579807872	-0.005287572577366555	-48.91007983050052	-1829509.6401614984	-0.005334002777576034	-0.05369783665773439	-0.0011135177359473515	-10.30004611019217	-1737496.3489226506	-0.005065734636065393	-0.05099715961574403	-0.0010575145154733115	-9.78201596610011	-13616313.176201679	-0.0396988628580244	-0.3996516578899749	-0.008287469979428898	-76.65914980000551	-12931494.81702069	-0.03770224969468299	-0.37955159195740495	-0.007870660265989465	-72.8036573107461
